FIPS code,State,Jurisdiction,Equipment Type,Make,Model,VVPAT,Polling Place,Accessible Use,Early Voting,Absentee Ballots,County
4800100000,Texas,Anderson County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,No,ANDERSON
4800100000,Texas,Anderson County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No,ANDERSON
4800100000,Texas,Anderson County,Batch-Fed Optical Scanner,Election Systems & Software,DS450,N/A,No,No,No,Yes,ANDERSON
4800100000,Texas,Anderson County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No,ANDERSON
4800300000,Texas,Andrews County,Batch-Fed Optical Scanner,Election Systems & Software,DS450,N/A,Yes,No,Yes,Yes,ANDREWS
4800300000,Texas,Andrews County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No,ANDREWS
4800300000,Texas,Andrews County,Electronic Poll Book,Election Systems & Software,ExpressPoll,N/A,Yes,No,Yes,No,ANDREWS
4800500000,Texas,Angelina County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,Yes,ANGELINA
4800500000,Texas,Angelina County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No,ANGELINA
4800500000,Texas,Angelina County,Electronic Poll Book,Election Systems & Software,ExpressPoll,N/A,Yes,No,Yes,No,ANGELINA
4800700000,Texas,Aransas County,DRE-Touchscreen,Hart InterCivic,Verity Touch,No,Yes,Yes,Yes,No,ARANSAS
4800700000,Texas,Aransas County,Hand-Fed Optical Scanner,Hart InterCivic,Verity Scan,N/A,No,No,No,Yes,ARANSAS
4800700000,Texas,Aransas County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No,ARANSAS
4800900000,Texas,Archer County,Ballot Marking Device,Hart InterCivic,Verity Duo,N/A,Yes,Yes,Yes,No,ARCHER
4800900000,Texas,Archer County,Hand-Fed Optical Scanner,Hart InterCivic,Verity Scan,N/A,Yes,No,Yes,Yes,ARCHER
4800900000,Texas,Archer County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No,ARCHER
4801100000,Texas,Armstrong County,DRE-Touchscreen,Election Systems & Software,iVotronic,No,Yes,Yes,Yes,No,ARMSTRONG
4801100000,Texas,Armstrong County,Hand Counted Paper Ballots,Not Applicable,Not Applicable,N/A,Yes,No,Yes,Yes,ARMSTRONG
4801100000,Texas,Armstrong County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No,ARMSTRONG
4801300000,Texas,Atascosa County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,Yes,ATASCOSA
4801300000,Texas,Atascosa County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No,ATASCOSA
4801300000,Texas,Atascosa County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No,ATASCOSA
4801300000,Texas,Atascosa County,DRE-Touchscreen,Election Systems & Software,ExpressTouch,No,Yes,Yes,Yes,No,ATASCOSA
4801500000,Texas,Austin County,Batch-Fed Optical Scanner,Election Systems & Software,DS450,N/A,No,No,No,Yes,AUSTIN
4801500000,Texas,Austin County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No,AUSTIN
4801500000,Texas,Austin County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No,AUSTIN
4801500000,Texas,Austin County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,No,AUSTIN
4801700000,Texas,Bailey County,Hand-Fed Optical Scanner,Election Systems & Software,Model 100,N/A,Yes,No,Yes,Yes,BAILEY
4801700000,Texas,Bailey County,Ballot Marking Device,Election Systems & Software,AutoMARK,N/A,Yes,Yes,Yes,No,BAILEY
4801700000,Texas,Bailey County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No,BAILEY
4801900000,Texas,Bandera County,DRE-Touchscreen,Hart InterCivic,Verity Touch,No,Yes,Yes,Yes,No,BANDERA
4801900000,Texas,Bandera County,Hand-Fed Optical Scanner,Hart InterCivic,Verity Scan,N/A,No,No,No,Yes,BANDERA
4801900000,Texas,Bandera County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No,BANDERA
4802100000,Texas,Bastrop County,Batch-Fed Optical Scanner,Election Systems & Software,DS850,N/A,Yes,No,Yes,Yes,BASTROP
4802100000,Texas,Bastrop County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No,BASTROP
4802100000,Texas,Bastrop County,Electronic Poll Book,Votec,VoteSafe,N/A,Yes,No,Yes,No,BASTROP
4802300000,Texas,Baylor County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,Yes,BAYLOR
4802300000,Texas,Baylor County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No,BAYLOR
4802300000,Texas,Baylor County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No,BAYLOR
4802500000,Texas,Bee County,Ballot Marking Device,Hart InterCivic,Verity Duo,N/A,Yes,Yes,Yes,No,BEE
4802500000,Texas,Bee County,Hand-Fed Optical Scanner,Hart InterCivic,Verity Scan,N/A,Yes,No,Yes,Yes,BEE
4802500000,Texas,Bee County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No,BEE
4802700000,Texas,Bell County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,No,BELL
4802700000,Texas,Bell County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No,BELL
4802700000,Texas,Bell County,Batch-Fed Optical Scanner,Election Systems & Software,DS850,N/A,No,No,No,Yes,BELL
4802700000,Texas,Bell County,Electronic Poll Book,Votec,VoteSafe,N/A,Yes,No,Yes,No,BELL
4802900000,Texas,Bexar County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,No,BEXAR
4802900000,Texas,Bexar County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No,BEXAR
4802900000,Texas,Bexar County,Batch-Fed Optical Scanner,Election Systems & Software,DS850,N/A,No,No,No,Yes,BEXAR
4802900000,Texas,Bexar County,Batch-Fed Optical Scanner,Election Systems & Software,DS450,N/A,No,No,No,Yes,BEXAR
4802900000,Texas,Bexar County,DRE-Touchscreen,Election Systems & Software,ExpressTouch,No,Yes,Yes,Yes,No,BEXAR
4802900000,Texas,Bexar County,Electronic Poll Book,Votec,VoteSafe,N/A,Yes,No,Yes,No,BEXAR
4803100000,Texas,Blanco County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,Yes,BLANCO
4803100000,Texas,Blanco County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No,BLANCO
4803100000,Texas,Blanco County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No,BLANCO
4803300000,Texas,Borden County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,Yes,BORDEN
4803300000,Texas,Borden County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No,BORDEN
4803300000,Texas,Borden County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No,BORDEN
4803500000,Texas,Bosque County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,Yes,BOSQUE
4803500000,Texas,Bosque County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No,BOSQUE
4803500000,Texas,Bosque County,Electronic Poll Book,Election Systems & Software,ExpressPoll,N/A,Yes,No,Yes,No,BOSQUE
4803700000,Texas,Bowie County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,No,BOWIE
4803700000,Texas,Bowie County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No,BOWIE
4803700000,Texas,Bowie County,Batch-Fed Optical Scanner,Election Systems & Software,DS450,N/A,No,No,No,Yes,BOWIE
4803700000,Texas,Bowie County,Electronic Poll Book,Election Systems & Software,ExpressPoll,N/A,Yes,No,Yes,No,BOWIE
4803900000,Texas,Brazoria County,DRE-Touchscreen,Hart InterCivic,Verity Touch,No,Yes,Yes,Yes,No,BRAZORIA
4803900000,Texas,Brazoria County,Batch-Fed Optical Scanner,Hart InterCivic,Ballot Now,N/A,No,No,No,Yes,BRAZORIA
4803900000,Texas,Brazoria County,Electronic Poll Book,Robis,AskED ePollbook,N/A,Yes,No,Yes,No,BRAZORIA
