Search Results: Texas / 2022 
FIPS code,State,Jurisdiction,Precincts,Total Registration,Marking Method
"4800100000","Texas","Anderson County","23","29274","Ballot Marking Devices for all voters",
"4800300000","Texas","Andrews County","5","10272","Ballot Marking Devices for all voters",
"4800500000","Texas","Angelina County","43","53166","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"4800700000","Texas","Aransas County","6","18306","Vote Center Jurisdiction, DREs without VVPAT for all voters",
"4800900000","Texas","Archer County","12","6538","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"4801100000","Texas","Armstrong County","8","1498","Hand marked paper ballots and DREs without VVPAT for accessibility",
"4801300000","Texas","Atascosa County","25","29409","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"4801500000","Texas","Austin County","18","20293","Ballot Marking Devices for all voters",
"4801700000","Texas","Bailey County","5","3539","Hand marked paper ballots and BMDs for accessibility",
"4801900000","Texas","Bandera County","11","17098","DREs without VVPAT for all voters",
"4802100000","Texas","Bastrop County","23","52096","Ballot Marking Devices for all voters",
"4802300000","Texas","Baylor County","5","2408","Ballot Marking Devices for all voters",
"4802500000","Texas","Bee County","18","16033","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"4802700000","Texas","Bell County","49","215974","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"4802900000","Texas","Bexar County","767","1189373","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"4803100000","Texas","Blanco County","7","9344","Hand marked paper ballots and BMDs for accessibility",
"4803300000","Texas","Borden County","8","499","Hand marked paper ballots and BMDs for accessibility",
"4803500000","Texas","Bosque County","12","12724","Hand marked paper ballots and BMDs for accessibility",
"4803700000","Texas","Bowie County","43","61407","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"4803900000","Texas","Brazoria County","67","224256","Vote Center Jurisdiction, DREs without VVPAT for all voters",
"4804100000","Texas","Brazos County","99","122137","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"4804300000","Texas","Brewster County","9","7524","Hand marked paper ballots and BMDs for accessibility",
"4804500000","Texas","Briscoe County","6","1025","Ballot Marking Devices for all voters",
"4804700000","Texas","Brooks County","6","5521","Hand marked paper ballots and DREs without VVPAT for accessibility",
"4804900000","Texas","Brown County","19","23954","Ballot Marking Devices for all voters",
"4805100000","Texas","Burleson County","14","12440","Ballot Marking Devices for all voters",
"4805300000","Texas","Burnet County","21","33697","Vote Center Jurisdiction, DREs without VVPAT for all voters",
"4805500000","Texas","Caldwell County","31","25945","Ballot Marking Devices for all voters",
"4805700000","Texas","Calhoun County","25","13080","Hand marked paper ballots and BMDs for accessibility",
"4805900000","Texas","Callahan County","8","9773","Vote Center Jurisdiction, DREs without VVPAT for all voters",
"4806100000","Texas","Cameron County","104","218910","Hand marked paper ballots and BMDs for accessibility",
"4806300000","Texas","Camp County","5","7904","Hand marked paper ballots and BMDs for accessibility",
"4806500000","Texas","Carson County","9","4345","Ballot Marking Devices for all voters",
"4806700000","Texas","Cass County","19","20889","Hand marked paper ballots and BMDs for accessibility",
"4806900000","Texas","Castro County","9","3853","DREs without VVPAT for all voters",
"4807100000","Texas","Chambers County","15","30709","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"4807300000","Texas","Cherokee County","25","29166","Hand marked paper ballots and DREs without VVPAT for accessibility",
"4807500000","Texas","Childress County","5","3658","Ballot Marking Devices for all voters",
"4807700000","Texas","Clay County","17","7959","Ballot Marking Devices for all voters",
"4807900000","Texas","Cochran County","6","1771","Hand marked paper ballots and BMDs for accessibility",
"4808100000","Texas","Coke County","5","2414","DREs without VVPAT for all voters",
"4808300000","Texas","Coleman County","5","5960","Ballot Marking Devices for all voters",
"4808500000","Texas","Collin County","239","648670","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"4808700000","Texas","Collingsworth County","8","1942","Hand marked paper ballots and BMDs for accessibility",
"4808900000","Texas","Colorado County","4","14378","Hand marked paper ballots and BMDs for accessibility",
"4809100000","Texas","Comal County","30","115876","Vote Center Jurisdiction, DREs without VVPAT for all voters",
"4809300000","Texas","Comanche County","14","9562","Ballot Marking Devices for all voters",
"4809500000","Texas","Concho County","9","1757","DREs without VVPAT for all voters",
"4809700000","Texas","Cooke County","30","27268","Ballot Marking Devices for all voters",
"4809900000","Texas","Coryell County","16","41450","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"4810100000","Texas","Cottle County","5","1041","Hand marked paper ballots and BMDs for accessibility",
"4810300000","Texas","Crane County","4","2663","Ballot Marking Devices for all voters",
"4810500000","Texas","Crockett County","5","2473","Hand marked paper ballots and BMDs for accessibility",
"4810700000","Texas","Crosby County","5","3629","Ballot Marking Devices for all voters",
"4810900000","Texas","Culberson County","6","1709","Hand marked paper ballots and BMDs for accessibility",
"4811100000","Texas","Dallam County","10","3046","Ballot Marking Devices for all voters",
"4811300000","Texas","Dallas County","1170","1398469","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"4811500000","Texas","Dawson County","10","7104","Ballot Marking Devices for all voters",
"4812300000","Texas","DeWitt County","10","12094","Vote Center Jurisdiction, DREs without VVPAT for all voters",
"4811700000","Texas","Deaf Smith County","5","8900","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"4811900000","Texas","Delta County","8","3949","Ballot Marking Devices for all voters",
"4812100000","Texas","Denton County","186","565089","Hand marked paper ballots and BMDs for accessibility",
"4812500000","Texas","Dickens County","7","1328","Ballot Marking Devices for all voters",
"4812700000","Texas","Dimmit County","8","7341","Hand marked paper ballots and BMDs for accessibility",
"4812900000","Texas","Donley County","7","2322","Hand marked paper ballots and BMDs for accessibility",
"4813100000","Texas","Duval County","10","8346","Hand marked paper ballots and BMDs for accessibility",
"4813300000","Texas","Eastland County","13","12230","Vote Center Jurisdiction, DREs without VVPAT for all voters",
"4813500000","Texas","Ector County","41","80872","Vote Center Jurisdiction, DREs without VVPAT for all voters",
"4813700000","Texas","Edwards County","5","1499","Hand marked paper ballots and BMDs for accessibility",
"4814100000","Texas","El Paso County","50","488470","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"4813900000","Texas","Ellis County","209","120188","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"4814300000","Texas","Erath County","22","23935","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"4814500000","Texas","Falls County","13","10361","Hand marked paper ballots and DREs without VVPAT for accessibility",
"4814700000","Texas","Fannin County","17","22199","Ballot Marking Devices for all voters",
"4814900000","Texas","Fayette County","27","17398","Hand marked paper ballots and BMDs for accessibility",
"4815100000","Texas","Fisher County","5","2646","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"4815300000","Texas","Floyd County","7","3850","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
"4815500000","Texas","Foard County","5","884","Hand marked paper ballots and DREs without VVPAT for accessibility",
"4815700000","Texas","Fort Bend County","160","482368","Vote Center Jurisdiction, Ballot Marking Devices for all voters",
